System/Element;PNO-LCCSD(T)-F12b
pheavy_ga_25_H;-0.499992715087
pheavy_ga_25_N;-54.527926395
pheavy_ga_25_F;-99.665156131
pheavy_ga_25_Ga;-258.886057164
;
pheavy_ga_26;-301.159413300
pheavy_ga_26_H;-0.499992715087
pheavy_ga_26_C;-37.788265879
pheavy_ga_26_Ga;-258.886051375
;
pheavy_ga_27;-603.436177640
pheavy_ga_27_H;-0.499992715087
pheavy_ga_27_P;-340.829929377
pheavy_ga_27_Ga;-258.886109631
;
pheavy_ga_28;-486.346608130
pheavy_ga_28_H;-0.499992715087
pheavy_ga_28_O;-75.002371685
pheavy_ga_28_Ga;-258.886021698
;
pheavy_ga_29;-1496.148006910
pheavy_ga_29_H;-0.499992715087
pheavy_ga_29_C;-37.788265203
pheavy_ga_29_O;-75.002377729
pheavy_ga_29_Ga;-258.886046917
;
pheavy_ga_30;-1321.250480250
pheavy_ga_30_H;-0.499992715087
pheavy_ga_30_C;-37.788270823
pheavy_ga_30_N;-54.527931143
pheavy_ga_30_O;-75.002386614
pheavy_ga_30_Ga;-258.886083995
;
pheavy_ga_31;-1321.231030360
pheavy_ga_31_H;-0.499992715087
pheavy_ga_31_C;-37.788269653
pheavy_ga_31_N;-54.527929777
pheavy_ga_31_O;-75.002384764
pheavy_ga_31_Ga;-258.886076274
;
pheavy_ga_32;-2266.324228760
pheavy_ga_32_H;-0.499992715087
pheavy_ga_32_C;-37.788272519
pheavy_ga_32_O;-75.002389296
pheavy_ga_32_F;-99.665167589
pheavy_ga_32_P;-340.829925291
pheavy_ga_32_Cl;-459.703394989
pheavy_ga_32_Ga;-258.886095186
;
pheavy_ga_33;-458.216794780
pheavy_ga_33_F;-99.665179906
pheavy_ga_33_Ga_cation;-258.668093060
;
pheavy_ga_34;-259.807813040
pheavy_ga_34_H;-0.499992715087
pheavy_ga_34_Ga_cation;-258.668176101
;
pheavy_ga_35;-338.385246430
pheavy_ga_35_H;-0.499992715087
pheavy_ga_35_C;-37.788259723
pheavy_ga_35_Ga_cation;-258.667976277
;
pheavy_ge_1;-824.241311780
pheavy_ge_1_H;-0.499992715087
pheavy_ge_1_C_anion;-37.833047042
pheavy_ge_1_C;-37.788251304
pheavy_ge_1_Ge;-293.958245040
;
pheavy_ge_2;-1178.004644420
pheavy_ge_2_H;-0.499992715087
pheavy_ge_2_Ge_anion;-294.007782332
pheavy_ge_2_Ge;-293.958477214
;
pheavy_ge_3;-593.617038880
pheavy_ge_3_F_anion;-99.791277628
pheavy_ge_3_F;-99.665172546
pheavy_ge_3_Ge;-293.958382075
;
pheavy_ge_4;-374.362820000
pheavy_ge_4_H;-0.499992715087
pheavy_ge_4_C_anion;-37.833059994
pheavy_ge_4_C;-37.788257703
pheavy_ge_4_Ge;-293.958282027
;
pheavy_ge_5;-1771.662044760
pheavy_ge_5_Ge;-293.958659735
pheavy_ge_5_I_anion;-295.559046723
pheavy_ge_5_I;-295.435169489
;
pheavy_ge_6;-1462.166786540
pheavy_ge_6_H;-0.499992715087
pheavy_ge_6_C;-37.788270857
pheavy_ge_6_N;-54.527931183
pheavy_ge_6_O_anion;-75.055874066
pheavy_ge_6_O;-75.002386668
pheavy_ge_6_Ge;-293.958358060
;
pheavy_ge_7;-803.066773100
pheavy_ge_7_H;-0.499992715087
pheavy_ge_7_C;-37.788255392
pheavy_ge_7_N;-54.527913126
pheavy_ge_7_O;-75.002362216
pheavy_ge_7_F;-99.665133536
pheavy_ge_7_Ge;-293.958268669
;
pheavy_ge_8;-589.222398910
pheavy_ge_8_H;-0.499992715087
pheavy_ge_8_Ge;-293.958468589
;
pheavy_ge_9;-667.707628430
pheavy_ge_9_H;-0.499992715087
pheavy_ge_9_C;-37.788272359
pheavy_ge_9_Ge;-293.958366737
;
pheavy_ge_10;-1041.720111900
pheavy_ge_10_H;-0.499992715087
pheavy_ge_10_O;-75.002376337
pheavy_ge_10_Ge;-293.958320292
;
pheavy_ge_11;-1680.779472110
pheavy_ge_11_F;-99.665177664
pheavy_ge_11_Ge;-293.958396953
;
pheavy_ge_12;-1959.360469870
pheavy_ge_12_Ge;-293.958549148
pheavy_ge_12_Br;-416.236166923
;
pheavy_ge_13;-680.522982980
pheavy_ge_13_H;-0.499992715087
pheavy_ge_13_C;-37.788230543
pheavy_ge_13_Ge;-293.958125040
;
pheavy_ge_14;-3015.347295120
pheavy_ge_14_Cl;-459.703466863
pheavy_ge_14_Ge;-293.958504131
;
pheavy_ge_15;-373.697592360
pheavy_ge_15_H;-0.499992715087
pheavy_ge_15_C;-37.788260577
pheavy_ge_15_Ge;-293.958298640
;
pheavy_ge_16;-334.434072990
pheavy_ge_16_H;-0.499992715087
pheavy_ge_16_C;-37.788271349
pheavy_ge_16_Ge;-293.958360900
;
pheavy_ge_17;-551.406034590
pheavy_ge_17_H;-0.499992715087
pheavy_ge_17_N;-54.527926598
pheavy_ge_17_F;-99.665156478
pheavy_ge_17_Ge;-293.958335363
;
pheavy_ge_18;-585.460480420
pheavy_ge_18_H;-0.499992715087
pheavy_ge_18_Si;-288.938689359
pheavy_ge_18_Ge;-293.958416599
;
pheavy_ge_19;-390.986634090
pheavy_ge_19_H;-0.499992715087
pheavy_ge_19_C;-37.788260889
pheavy_ge_19_N;-54.527919544
pheavy_ge_19_Ge;-293.958300445
;
pheavy_ge_20;-666.874777460
pheavy_ge_20_H;-0.499992715087
pheavy_ge_20_O;-75.002405090
pheavy_ge_20_Ge;-293.958425404
;
pheavy_ge_21;-517.731750840
pheavy_ge_21_H;-0.499992715087
pheavy_ge_21_N;-54.527906517
pheavy_ge_21_Ge;-293.958235957
;
pheavy_ge_22;-597.253877110
pheavy_ge_22_H;-0.499992715087
pheavy_ge_22_O;-75.002369516
pheavy_ge_22_Ge;-293.958295355
;
pheavy_ge_23;-691.846100950
pheavy_ge_23_S;-397.672874149
pheavy_ge_23_Ge;-293.958482026
;
pheavy_ge_24;-1463.790583970
pheavy_ge_24_H;-0.499992715087
pheavy_ge_24_C;-37.788270758
pheavy_ge_24_N;-54.527931067
pheavy_ge_24_O;-75.002386511
pheavy_ge_24_Ge;-293.958357484
;
pheavy_ge_25;-864.811380460
pheavy_ge_25_H;-0.499992715087
pheavy_ge_25_C;-37.788270302
pheavy_ge_25_F;-99.665163180
pheavy_ge_25_Ge;-293.958354848
;
pheavy_ge_26;-2754.867868260
pheavy_ge_26_H;-0.499992715087
pheavy_ge_26_C;-37.788278204
pheavy_ge_26_O;-75.002398285
pheavy_ge_26_F;-99.665178893
pheavy_ge_26_Cl;-459.703412296
pheavy_ge_26_Ge;-293.958400526
;
pheavy_ge_27;-568.824649420
pheavy_ge_27_O;-75.002386805
pheavy_ge_27_F;-99.665164457
pheavy_ge_27_Ge;-293.958358560
;
pheavy_ge_28;-822.326735260
pheavy_ge_28_H;-0.499992715087
pheavy_ge_28_C;-37.788237882
pheavy_ge_28_Si;-288.938636558
pheavy_ge_28_Ge;-293.958167461
;
pheavy_ge_29;-2950.281610200
pheavy_ge_29_H;-0.499992715087
pheavy_ge_29_Ge;-293.958484126
;
pheavy_ge_30;-481.973682170
pheavy_ge_30_H;-0.499992715087
pheavy_ge_30_C;-37.788249898
pheavy_ge_30_N;-54.527906710
pheavy_ge_30_Ge;-293.958236910
;
pheavy_ge_31;-765.097971840
pheavy_ge_31_H;-0.499992715087
pheavy_ge_31_C;-37.788225390
pheavy_ge_31_Ge;-293.958095255
;
pheavy_ge_32;-749.210517550
pheavy_ge_32_H;-0.499992715087
pheavy_ge_32_C;-37.788247105
pheavy_ge_32_O;-75.002349113
pheavy_ge_32_Ge;-293.958220769
;
pheavy_ge_33;-1994.847336350
pheavy_ge_33_H;-0.499992715087
pheavy_ge_33_C;-37.788259489
pheavy_ge_33_Cl;-459.703355320
pheavy_ge_33_Ge;-293.958292348
;
pheavy_ge_34;-1673.139958120
pheavy_ge_34_Cl;-459.703478826
pheavy_ge_34_Ge_cation;-293.667514440
;
pheavy_ge_35;-1237.865773990
pheavy_ge_35_H;-0.499992715087
pheavy_ge_35_N;-54.527947834
pheavy_ge_35_Ge_cation;-293.667435735
pheavy_ge_35_Ge;-293.958440486
;
pheavy_ge_36;-638.298543760
pheavy_ge_36_H;-0.499992715087
pheavy_ge_36_P;-340.829940842
pheavy_ge_36_Ge_cation;-293.667413269
;
pheavy_ge_37;-858.643761710
pheavy_ge_37_H;-0.499992715087
pheavy_ge_37_C;-37.788269776
pheavy_ge_37_N;-54.527929920
pheavy_ge_37_O;-75.002384958
pheavy_ge_37_F;-99.665162134
pheavy_ge_37_Ge_cation;-293.667354916
pheavy_ge_37_Ge;-293.958351807
;
pheavy_as_1;-3090.734667560
pheavy_as_1_Cl_anion;-459.838439178
pheavy_as_1_Cl;-459.703464873
pheavy_as_1_As;-331.847442770
;
pheavy_as_2;-767.767061660
pheavy_as_2_C;-37.788274218
pheavy_as_2_S_anion;-397.749810701
pheavy_as_2_As;-331.847325966
;
pheavy_as_3;-388.296350080
pheavy_as_3_H;-0.499992715087
pheavy_as_3_N;-54.527927777
pheavy_as_3_As_anion;-331.875760389
;
pheavy_as_4;-633.888910230
pheavy_as_4_H;-0.499992715087
pheavy_as_4_O_anion;-75.055829546
pheavy_as_4_O;-75.002368696
pheavy_as_4_As;-331.847245040
;
pheavy_as_5;-2530.565234080
pheavy_as_5_H;-0.499992715087
pheavy_as_5_C;-37.788274852
pheavy_as_5_N;-54.527935848
pheavy_as_5_O;-75.002392984
pheavy_as_5_F;-99.665172228
pheavy_as_5_S;-397.672831078
pheavy_as_5_Cl_anion;-459.838348899
pheavy_as_5_As;-331.847329449
;
pheavy_as_6;-865.802475200
pheavy_as_6_H;-0.499992715087
pheavy_as_6_F;-99.665185085
pheavy_as_6_As;-331.847364982
;
pheavy_as_7;-502.133312260
pheavy_as_7_H;-0.499992715087
pheavy_as_7_C;-37.788259026
pheavy_as_7_N;-54.527917369
pheavy_as_7_O;-75.002367961
pheavy_as_7_As;-331.847242486
;
pheavy_as_8;-1102.063430960
pheavy_as_8_H;-0.499992715087
pheavy_as_8_C;-37.788284532
pheavy_as_8_S;-397.672854968
pheavy_as_8_As;-331.847382642
;
pheavy_as_9;-666.224427290
pheavy_as_9_H;-0.499992715087
pheavy_as_9_As;-331.847432854
;
pheavy_as_10;-743.546678530
pheavy_as_10_H;-0.499992715087
pheavy_as_10_C;-37.788275251
pheavy_as_10_As;-331.847331640
;
pheavy_as_11;-1336.778738710
pheavy_as_11_P;-340.829963997
pheavy_as_11_As;-331.847430607
;
pheavy_as_12;-1778.893030440
pheavy_as_12_O;-75.002392169
pheavy_as_12_As;-331.847326617
;
pheavy_as_13;-5305.528770010
pheavy_as_13_S;-397.672862705
pheavy_as_13_As;-331.847399868
;
pheavy_as_14;-679.106376330
pheavy_as_14_H;-0.499992715087
pheavy_as_14_C;-37.788242875
pheavy_as_14_O;-75.002342425
pheavy_as_14_As;-331.847153740
;
pheavy_as_15;-1580.861163280
pheavy_as_15_As;-331.847485098
pheavy_as_15_Br;-416.236162655
;
pheavy_as_16;-2171.760492930
pheavy_as_16_As;-331.847523594
pheavy_as_16_Br;-416.236203118
pheavy_as_16_I;-295.435053186
;
pheavy_as_17;-564.407575990
pheavy_as_17_H;-0.499992715087
pheavy_as_17_C;-37.788244184
pheavy_as_17_As;-331.847160932
;
pheavy_as_18;-360.271451440
pheavy_as_18_H;-0.499992715087
pheavy_as_18_B;-24.601580783
pheavy_as_18_As;-331.847323886
;
pheavy_as_19;-482.779897980
pheavy_as_19_H;-0.499992715087
pheavy_as_19_O;-75.002380000
pheavy_as_19_As;-331.847284326
;
pheavy_as_20;-1809.311824980
pheavy_as_20_As;-331.847586751
pheavy_as_20_I;-295.435157087
;
pheavy_as_21;-525.149250080
pheavy_as_21_H;-0.499992715087
pheavy_as_21_C;-37.788246489
pheavy_as_21_As;-331.847173596
;
pheavy_as_22;-371.722268750
pheavy_as_22_H;-0.499992715087
pheavy_as_22_C;-37.788274662
pheavy_as_22_As;-331.847328405
;
pheavy_as_23;-653.785121340
pheavy_as_23_H;-0.499992715087
pheavy_as_23_C;-37.788252510
pheavy_as_23_N;-54.527909760
pheavy_as_23_O;-75.002357659
pheavy_as_23_As;-331.847206681
;
pheavy_as_24;-928.551332740
pheavy_as_24_H;-0.499992715087
pheavy_as_24_C;-37.788267633
pheavy_as_24_O;-75.002381570
pheavy_as_24_As;-331.847289780
;
pheavy_as_25;-538.037527920
pheavy_as_25_H;-0.499992715087
pheavy_as_25_N;-54.527916376
pheavy_as_25_O;-75.002366618
pheavy_as_25_As;-331.847237817
;
pheavy_as_26;-1504.506300530
pheavy_as_26_H;-0.499992715087
pheavy_as_26_O;-75.002412562
pheavy_as_26_F;-99.665196846
pheavy_as_26_As;-331.847397487
;
pheavy_as_27;-1328.037815530
pheavy_as_27_H;-0.499992715087
pheavy_as_27_As_cation;-331.479344820
pheavy_as_27_As;-331.847447296
;
pheavy_as_28;-730.741549850
pheavy_as_28_F;-99.665169856
pheavy_as_28_As_cation;-331.479233438
;
pheavy_as_29;-899.706038320
pheavy_as_29_H;-0.499992715087
pheavy_as_29_C;-37.788254223
pheavy_as_29_As_cation;-331.479137816
pheavy_as_29_As;-331.847216095
;
pheavy_as_30;-1771.057807210
pheavy_as_30_H;-0.499992715087
pheavy_as_30_C;-37.788277885
pheavy_as_30_O;-75.002397780
pheavy_as_30_F;-99.665178258
pheavy_as_30_Cl;-459.703411323
pheavy_as_30_As_cation;-331.479254228
pheavy_as_30_As;-331.847346114
;
pheavy_as_31;-773.471234310
pheavy_as_31_H;-0.499992715087
pheavy_as_31_C;-37.788233050
pheavy_as_31_N;-54.527887038
pheavy_as_31_As_cation;-331.479033650
;
pheavy_as_32;-624.295030050
pheavy_as_32_H;-0.499992715087
pheavy_as_32_Si_cation;-288.639367230
pheavy_as_32_As;-331.847369066
;
pheavy_se_1;-448.405530560
pheavy_se_1_H;-0.499992715087
pheavy_se_1_O;-75.002404033
pheavy_se_1_Se_anion;-372.628420886
;
pheavy_se_2;-745.906674890
pheavy_se_2_H;-0.499992715087
pheavy_se_2_Se_anion;-372.628548609
pheavy_se_2_Se;-372.552039027
;
pheavy_se_3;-1231.638777050
pheavy_se_3_H;-0.499992715087
pheavy_se_3_C;-37.788285286
pheavy_se_3_O;-75.002409482
pheavy_se_3_Se_anion;-372.628444574
pheavy_se_3_Se;-372.551954319
;
pheavy_se_4;-679.168133550
pheavy_se_4_H;-0.499992715087
pheavy_se_4_C;-37.788245544
pheavy_se_4_O;-75.002346644
pheavy_se_4_Se_anion;-372.628171428
;
pheavy_se_5;-673.883569880
pheavy_se_5_H;-0.499992715087
pheavy_se_5_O;-75.002370788
pheavy_se_5_Se_anion;-372.628276378
;
pheavy_se_6;-4471.673866360
pheavy_se_6_Se;-372.552033048
;
pheavy_se_7;-411.828762510
pheavy_se_7_H;-0.499992715087
pheavy_se_7_C;-37.788279845
pheavy_se_7_Se;-372.551923871
;
pheavy_se_8;-527.442584360
pheavy_se_8_H;-0.499992715087
pheavy_se_8_C;-37.788259276
pheavy_se_8_O;-75.002368356
pheavy_se_8_Se;-372.551808763
;
pheavy_se_9;-822.476929670
pheavy_se_9_H;-0.499992715087
pheavy_se_9_C;-37.788280253
pheavy_se_9_Se;-372.551926154
;
pheavy_se_10;-2242.798501270
pheavy_se_10_H;-0.499992715087
pheavy_se_10_Se;-372.551977572
;
pheavy_se_11;-1071.050872370
pheavy_se_11_H;-0.499992715087
pheavy_se_11_C;-37.788249602
pheavy_se_11_N;-54.527906365
pheavy_se_11_O;-75.002353060
pheavy_se_11_F;-99.665122023
pheavy_se_11_Se;-372.551754627
;
pheavy_se_12;-1866.825802320
pheavy_se_12_H;-0.499992715087
pheavy_se_12_C;-37.788271802
pheavy_se_12_N;-54.527932287
pheavy_se_12_O;-75.002388162
pheavy_se_12_Se;-372.551878863
;
pheavy_se_13;-1419.104415700
pheavy_se_13_H;-0.499992715087
pheavy_se_13_C;-37.788277546
pheavy_se_13_O;-75.002397244
pheavy_se_13_F;-99.665177584
pheavy_se_13_Cl;-459.703410292
pheavy_se_13_Se;-372.551911006
;
pheavy_se_14;-527.018426270
pheavy_se_14_N;-54.527932326
pheavy_se_14_F;-99.665166231
pheavy_se_14_Se;-372.551879051
;
pheavy_se_15;-5090.256599460
pheavy_se_15_P;-340.829967448
pheavy_se_15_Se;-372.552009296
;
pheavy_se_16;-1143.007209350
pheavy_se_16_S;-397.672887378
pheavy_se_16_Se;-372.552023589
;
pheavy_se_17;-485.843531300
pheavy_se_17_C;-37.788272122
pheavy_se_17_O;-75.002388669
pheavy_se_17_Se;-372.551880654
;
pheavy_se_18;-572.149951470
pheavy_se_18_F;-99.665182754
pheavy_se_18_Se;-372.551925557
;
pheavy_se_19;-846.808154150
pheavy_se_19_O;-75.002380211
pheavy_se_19_F;-99.665156165
pheavy_se_19_Se;-372.551850721
;
pheavy_se_20;-467.158172340
pheavy_se_20_H;-0.499992715087
pheavy_se_20_C;-37.788269384
pheavy_se_20_N;-54.527929463
pheavy_se_20_Se;-372.551865330
;
pheavy_se_21;-373.690618510
pheavy_se_21_H;-0.499992715087
pheavy_se_21_Se;-372.551993160
;
pheavy_se_22;-975.231675080
pheavy_se_22_H;-0.499992715087
pheavy_se_22_C;-37.788265404
pheavy_se_22_O;-75.002378046
pheavy_se_22_Se;-372.551843056
;
pheavy_se_23;-940.703470010
pheavy_se_23_H;-0.499992715087
pheavy_se_23_O;-75.002370629
pheavy_se_23_P;-340.829903260
pheavy_se_23_Se;-372.551816806
;
pheavy_se_24;-1367.303026040
pheavy_se_24_O;-75.002408016
pheavy_se_24_Cl;-459.703431031
pheavy_se_24_Se;-372.551949129
;
pheavy_se_25;-1001.044276890
pheavy_se_25_H;-0.499992715087
pheavy_se_25_C;-37.788248630
pheavy_se_25_S;-397.672766362
pheavy_se_25_Se;-372.551749187
;
pheavy_se_26;-810.059322370
pheavy_se_26_H;-0.499992715087
pheavy_se_26_C;-37.788241555
pheavy_se_26_N;-54.527896969
pheavy_se_26_O;-75.002340338
pheavy_se_26_Se;-372.551709599
;
pheavy_se_27;-1118.573782710
pheavy_se_27_H;-0.499992715087
pheavy_se_27_C;-37.788254128
pheavy_se_27_N;-54.527911649
pheavy_se_27_Se;-372.551779956
;
pheavy_se_28;-451.100058610
pheavy_se_28_H;-0.499992715087
pheavy_se_28_C;-37.788267403
pheavy_se_28_Se;-372.551854244
;
pheavy_se_29;-559.261160680
pheavy_se_29_H;-0.499992715087
pheavy_se_29_C;-37.788254562
pheavy_se_29_N;-54.527912156
pheavy_se_29_Se;-372.551782383
;
pheavy_se_30;-565.585565590
pheavy_se_30_H;-0.499992715087
pheavy_se_30_C;-37.788249700
pheavy_se_30_Se_cation;-372.197474987
;
pheavy_se_31;-864.552207210
pheavy_se_31_H;-0.499992715087
pheavy_se_31_C;-37.788271941
pheavy_se_31_Se_cation;-372.197582374
pheavy_se_31_Se;-372.551879638
;
pheavy_se_32;-1621.178087930
pheavy_se_32_Se_cation;-372.197732535
pheavy_se_32_Br;-416.236161866
;
pheavy_se_33;-858.302895340
pheavy_se_33_H;-0.499992715087
pheavy_se_33_C;-37.788255239
pheavy_se_33_N;-54.527912947
pheavy_se_33_F;-99.665133231
pheavy_se_33_Se_cation;-372.197501731
;
pheavy_br_1;-1907.552686200
pheavy_br_1_Al;-241.934311153
pheavy_br_1_Br_anion;-416.365950771
pheavy_br_1_Br;-416.236175344
;
pheavy_br_2;-522.687565400
pheavy_br_2_H;-0.499992715087
pheavy_br_2_B;-24.601570990
pheavy_br_2_Br_anion;-416.365622009
;
pheavy_br_3;-493.543473910
pheavy_br_3_H;-0.499992715087
pheavy_br_3_C;-37.788275638
pheavy_br_3_Br_anion;-416.365742168
;
pheavy_br_4;-963.146605820
pheavy_br_4_C;-37.788280638
pheavy_br_4_N;-54.527942603
pheavy_br_4_Br_anion;-416.365777239
pheavy_br_4_Br;-416.236032470
;
pheavy_br_5;-1910.135518570
pheavy_br_5_H;-0.499992715087
pheavy_br_5_C;-37.788281662
pheavy_br_5_N;-54.527943799
pheavy_br_5_O;-75.002403752
pheavy_br_5_Br_anion;-416.365784425
pheavy_br_5_Br;-416.236038387
;
pheavy_br_6;-1173.584604730
pheavy_br_6_P;-340.829980522
pheavy_br_6_Br_anion;-416.365927912
pheavy_br_6_Br;-416.236156523
;
pheavy_br_7;-2838.835016600
pheavy_br_7_P;-340.829978376
pheavy_br_7_Br_anion;-416.365919848
pheavy_br_7_Br;-416.236149884
;
pheavy_br_8;-2370.808043650
pheavy_br_8_Si;-288.938716895
pheavy_br_8_Br_anion;-416.365937357
pheavy_br_8_Br;-416.236164299
;
pheavy_br_9;-4569.759602630
pheavy_br_9_Al;-241.934296063
pheavy_br_9_Br;-416.236028822
;
pheavy_br_10;-2547.485132650
pheavy_br_10_B;-24.601596222
pheavy_br_10_Br;-416.236132791
;
pheavy_br_11;-1000.773126340
pheavy_br_11_B;-24.601589899
pheavy_br_11_F;-99.665198588
pheavy_br_11_Cl;-459.703442452
pheavy_br_11_Br;-416.236075629
;
pheavy_br_12;-907.625855530
pheavy_br_12_O;-75.002419232
pheavy_br_12_Br;-416.236094932
;
pheavy_br_13;-2628.088165850
pheavy_br_13_Cl;-459.703487671
pheavy_br_13_Br;-416.236161418
;
pheavy_br_14;-508.988113510
pheavy_br_14_C;-37.788274562
pheavy_br_14_N;-54.527935509
pheavy_br_14_Br;-416.235997380
;
pheavy_br_15;-609.795136450
pheavy_br_15_H;-0.499992715087
pheavy_br_15_C;-37.788259335
pheavy_br_15_O;-75.002368450
pheavy_br_15_Br;-416.235909434
;
pheavy_br_16;-908.568587080
pheavy_br_16_C;-37.788286762
pheavy_br_16_Br;-416.236067844
;
pheavy_br_17;-3482.412857450
pheavy_br_17_C;-37.788290266
pheavy_br_17_Br;-416.236088082
;
pheavy_br_18;-1776.472479150
pheavy_br_18_C;-37.788270833
pheavy_br_18_F;-99.665164236
pheavy_br_18_Br;-416.235975842
;
pheavy_br_19;-2649.850595870
pheavy_br_19_C;-37.788289990
pheavy_br_19_Br;-416.236086487
;
pheavy_br_20;-2773.328531910
pheavy_br_20_C;-37.788291407
pheavy_br_20_F;-99.665205144
pheavy_br_20_Br;-416.236094673
;
pheavy_br_21;-456.136224400
pheavy_br_21_H;-0.499992715087
pheavy_br_21_C;-37.788283537
pheavy_br_21_Br;-416.236049215
;
pheavy_br_22;-873.026707360
pheavy_br_22_H;-0.499992715087
pheavy_br_22_C;-37.788290698
pheavy_br_22_Br;-416.236090576
;
pheavy_br_23;-908.934458600
pheavy_br_23_H;-0.499992715087
pheavy_br_23_O;-75.002420967
pheavy_br_23_Br;-416.236101272
;
pheavy_br_24;-609.328141390
pheavy_br_24_H;-0.499992715087
pheavy_br_24_C;-37.788269764
pheavy_br_24_N;-54.527929907
pheavy_br_24_F;-99.665162112
pheavy_br_24_Br;-416.235969671
;
pheavy_br_25;-888.968161070
pheavy_br_25_H;-0.499992715087
pheavy_br_25_N;-54.527950296
pheavy_br_25_Br;-416.236070521
;
pheavy_br_26;-1774.360172240
pheavy_br_26_N;-54.527952171
pheavy_br_26_Br;-416.236079797
;
pheavy_br_27;-1303.443233050
pheavy_br_27_N;-54.527959359
pheavy_br_27_Br;-416.236115352
;
pheavy_br_28;-473.398711220
pheavy_br_28_H;-0.499992715087
pheavy_br_28_N;-54.527940752
pheavy_br_28_Br;-416.236023312
;
pheavy_br_29;-3710.708377390
pheavy_br_29_C;-37.788280348
pheavy_br_29_Br;-416.236030800
;
pheavy_br_30;-1121.700774860
pheavy_br_30_Si;-288.938716156
pheavy_br_30_Br;-416.236160816
;
pheavy_br_31;-1954.411688990
pheavy_br_31_Si;-288.938717281
pheavy_br_31_Br;-416.236166119
;
pheavy_br_32;-1196.913516240
pheavy_br_32_O;-75.002421929
pheavy_br_32_Si;-288.938704272
pheavy_br_32_Br;-416.236104786
;
pheavy_br_33;-2081.047878090
pheavy_br_33_Br_cation;-415.799746813
pheavy_br_33_Br;-416.236160093
;
pheavy_br_34;-494.446872640
pheavy_br_34_H;-0.499992715087
pheavy_br_34_C_cation;-37.375919464
pheavy_br_34_C;-37.788271915
pheavy_br_34_Br;-416.235982094
;
pheavy_br_35;-1286.540218710
pheavy_br_35_C_cation;-37.375931846
pheavy_br_35_Br;-416.236112254
;
pheavy_br_36;-417.111735920
pheavy_br_36_H;-0.499992715087
pheavy_br_36_Br_cation;-415.799708698
;
pheavy_br_37;-911.932578150
pheavy_br_37_H;-0.499992715087
pheavy_br_37_C_cation;-37.375899087
pheavy_br_37_C;-37.788234829
pheavy_br_37_N;-54.527889116
pheavy_br_37_Br;-416.235767900
;
pheavy_br_38;-1646.293442250
pheavy_br_38_S_cation;-397.293244262
pheavy_br_38_Br;-416.236150034
;
pheavy_kr_1;-656.251270910
pheavy_kr_1_H;-0.499992715087
pheavy_kr_1_C_anion;-37.833056400
pheavy_kr_1_C;-37.788255928
pheavy_kr_1_Kr;-463.002851067
;
pheavy_kr_2;-516.102244490
pheavy_kr_2_H;-0.499992715087
pheavy_kr_2_B;-24.601587795
pheavy_kr_2_Kr;-463.003025163
;
pheavy_kr_3;-541.476272680
pheavy_kr_3_H;-0.499992715087
pheavy_kr_3_C;-37.788277988
pheavy_kr_3_Kr;-463.002984017
;
pheavy_kr_4;-700.534771190
pheavy_kr_4_C;-37.788281786
pheavy_kr_4_F;-99.665186015
pheavy_kr_4_Kr;-463.003006909
;
pheavy_kr_5;-563.211347150
pheavy_kr_5_H;-0.499992715087
pheavy_kr_5_F;-99.665195522
pheavy_kr_5_Kr;-463.003035723
;
pheavy_kr_6;-569.201229440
pheavy_kr_6_H;-0.499992715087
pheavy_kr_6_B;-24.601578306
pheavy_kr_6_Kr;-463.002935647
;
pheavy_kr_7;-694.909371230
pheavy_kr_7_H;-0.499992715087
pheavy_kr_7_C;-37.788253659
pheavy_kr_7_Kr;-463.002837393
;
pheavy_kr_8;-662.395888420
pheavy_kr_8_F;-99.665192351
pheavy_kr_8_Kr;-463.003026113
;
pheavy_kr_9;-1383.757360640
pheavy_kr_9_H;-0.499992715087
pheavy_kr_9_Cl;-459.703479661
pheavy_kr_9_Kr;-463.003118679
;
pheavy_kr_10;-848.326494560
pheavy_kr_10_H;-0.499992715087
pheavy_kr_10_C;-37.788241728
pheavy_kr_10_Kr;-463.002765489
;
pheavy_kr_11;-3363.142670800
pheavy_kr_11_H;-0.499992715087
pheavy_kr_11_Si;-288.938669298
pheavy_kr_11_Kr;-463.002903382
;
pheavy_kr_12;-800.014406190
pheavy_kr_12_C_cation;-37.375922019
pheavy_kr_12_F;-99.665175634
pheavy_kr_12_Kr;-463.002975444
;
pheavy_kr_13;-502.463855340
pheavy_kr_13_H;-0.499992715087
pheavy_kr_13_C_cation;-37.375928665
pheavy_kr_13_Kr;-463.003048347
;
pheavy_kr_14;-539.652040800
pheavy_kr_14_H;-0.499992715087
pheavy_kr_14_O;-75.002414708
pheavy_kr_14_Kr;-463.003047919
;
pheavy_kr_15;-922.291833640
pheavy_kr_15_Cl_cation;-459.226669972
pheavy_kr_15_Kr;-463.003139288
;
pheavy_kr_16;-578.561632470
pheavy_kr_16_H;-0.499992715087
pheavy_kr_16_C_cation;-37.375921458
pheavy_kr_16_C;-37.788275544
pheavy_kr_16_Kr;-463.002969290
;
pheavy_kr_17;-463.169674700
pheavy_kr_17_Kr;-463.003128193
;
pheavy_kr_18;-519.847742230
pheavy_kr_18_H;-0.499992715087
pheavy_kr_18_N;-54.527949265
pheavy_kr_18_Kr;-463.003034370
;
pheavy_kr_19;-538.169730190
pheavy_kr_19_O;-75.002411646
pheavy_kr_19_Kr;-463.003036248
;
pheavy_in_1;-3598.524541730
