System/Element;PNO-LCCSD(T)-F12b
s_be_9_Be;-14.675937814
s_be_9_C;-37.788272358
s_be_9_N;-54.527921814
s_be_9_O;-75.002333040
;
s_be_10;-1650.488788570
s_be_10_Be;-14.675957079
s_be_10_S;-397.673024218
;
s_be_11;-246.582832480
s_be_11_H;-0.499946081761
s_be_11_Be;-14.675927319
s_be_11_C;-37.788230215
;
s_be_12;-934.442028250
s_be_12_Be;-14.675954525
s_be_12_Cl;-459.703601186
;
s_be_13;-401.270602150
s_be_13_H;-0.499946081761
s_be_13_Be;-14.675923358
s_be_13_C;-37.788214310
;
s_be_14;-92.315863630
s_be_14_H;-0.499946081761
s_be_14_Be;-14.675942781
s_be_14_O;-75.002364570
;
s_be_15;-358.640049280
s_be_15_H;-0.499946081761
s_be_15_Be;-14.675949545
s_be_15_P;-340.830005707
;
s_be_16;-115.210661650
s_be_16_H;-0.499946081761
s_be_16_Be;-14.675949614
s_be_16_F;-99.665162909
;
s_be_17;-94.465989420
s_be_17_H;-0.499946081761
s_be_17_Be;-14.675935447
s_be_17_C;-37.788262853
;
s_be_18;-126.630549680
s_be_18_H;-0.499946081761
s_be_18_Be;-14.675935328
s_be_18_N;-54.527910157
;
s_be_19;-89.850673340
s_be_19_Be;-14.675945708
s_be_19_O;-75.002383152
;
s_be_20;-931.824834970
s_be_20_H;-0.499946081761
s_be_20_Be;-14.675942417
s_be_20_C;-37.788290838
s_be_20_O;-75.002362260
;
s_be_21;-1001.856701970
s_be_21_H;-0.499946081761
s_be_21_Be;-14.675921814
s_be_21_C;-37.788208112
s_be_21_N;-54.527846798
;
s_be_22;-3834.885527240
s_be_22_H;-0.499946081761
s_be_22_Be;-14.675949085
s_be_22_C;-37.788317613
s_be_22_S;-397.672944998
;
s_be_23;-56.369011680
s_be_23_H;-0.499946081761
s_be_23_Be;-14.675942988
s_be_23_C;-37.788293132
;
s_be_24;-802.276871110
s_be_24_H;-0.499946081761
s_be_24_Be;-14.675942948
s_be_24_C;-37.788292969
s_be_24_N;-54.527945881
s_be_24_O;-75.002365629
s_be_24_F;-99.665109689
s_be_24_S;-397.672884177
;
s_be_25;-1946.255193050
s_be_25_H;-0.499946081761
s_be_25_Be;-14.675941026
s_be_25_C;-37.788285252
s_be_25_O;-75.002353428
s_be_25_F;-99.665094346
s_be_25_P;-340.829941873
s_be_25_S;-397.672865132
s_be_25_Cl;-459.703436173
;
s_be_26;-231.237796730
s_be_26_H;-0.499946081761
s_be_26_Be;-14.675949012
s_be_26_C;-37.788317319
s_be_26_N;-54.527974313
s_be_26_O;-75.002404130
;
s_be_27;-314.794223530
s_be_27_H;-0.499946081761
s_be_27_Be_cation;-14.333392507
s_be_27_C;-37.788234497
s_be_27_N;-54.527877607
s_be_27_O;-75.002273177
;
s_be_28;-39.038072840
s_be_28_Be;-14.675981697
s_be_28_B_cation;-24.298293960
;
s_be_29;-114.228498000
s_be_29_Be_cation;-14.333393734
s_be_29_F;-99.665186857
;
s_be_30;-1263.142100910
s_be_30_H;-0.499946081761
s_be_30_Be_cation;-14.333393190
s_be_30_Be;-14.675941870
s_be_30_C;-37.788288642
s_be_30_N;-54.527940828
s_be_30_O;-75.002358787
s_be_30_F;-99.665101084
s_be_30_S;-397.672873496
s_be_30_Cl;-459.703446491
;
s_na_1;-1070.862557900
s_na_1_H;-0.499946081761
s_na_1_C;-37.788263979
s_na_1_Na;-162.180808968
s_na_1_Si_anion;-288.990369117
s_na_1_P;-340.829902175
;
s_na_2;-268.463152970
s_na_2_H_anion;-0.513835210
s_na_2_H;-0.499946081761
s_na_2_B;-24.601544896
s_na_2_Na;-162.180766019
;
s_na_3;-163.353213080
s_na_3_H_anion;-0.513835210
s_na_3_H;-0.499946081761
s_na_3_Na;-162.180898137
;
s_na_4;-2177.329571160
s_na_4_H;-0.499946081761
s_na_4_C;-37.788227765
s_na_4_N;-54.527869746
s_na_4_O;-75.002262533
s_na_4_Na;-162.180748471
s_na_4_S;-397.672723255
;
s_na_5;-319.775636000
s_na_5_H;-0.499946081761
s_na_5_C;-37.788235504
s_na_5_Na;-162.180761400
;
s_na_6;-659.372673360
s_na_6_H;-0.499946081761
s_na_6_C;-37.788274511
s_na_6_N;-54.527924329
s_na_6_O;-75.002336445
s_na_6_Na;-162.180826562
;
s_na_7;-934.135400960
