System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
plight_al_21;-2085.960747780000;-2088.246215118000;-2087.441557852000;-2088.113514122000;-2088.288610062000;-2088.158760414000;-2087.259119290000;-2088.172830564200;-2088.171075290000;-2088.032829717000
plight_al_22;-2522.677927140000;-2525.323863229000;-2524.156335479000;-2525.076828740000;-2525.202650840000;-2525.167704540000;-2524.162760075000;-2525.194467433000;-2525.229343340000;-2524.751553883000
plight_al_23;-598.186382820000;-598.901410535600;-598.547429415800;-598.859179046800;-598.879151422300;-598.836796993700;-598.524044696400;-598.884550098200;-598.873066260000;-598.778873210800
plight_al_24;-284.235572860000;-284.679403506600;-284.573036995000;-284.694789555800;-284.691605679300;-284.686433385000;-284.535565347500;-284.676957949500;-284.665056020000;-284.662359583000
plight_al_25;-586.514836590000;-587.328732295600;-587.146075139000;-587.331676316400;-587.339519778600;-587.337710644800;-587.086418289600;-587.310616555800;-587.308986950000;-587.299598114200
plight_al_26;-469.513004260000;-470.144548495400;-469.868659061100;-470.107194622200;-470.129403421500;-470.090868571200;-469.852084519500;-470.123876358500;-470.122485260000;-470.043493497400
plight_al_27;-1437.263277340000;-1438.958206129000;-1438.519473085000;-1438.889841166000;-1438.974820829000;-1438.941571075000;-1438.401481675000;-1438.900301836100;-1438.915698570000;-1438.868284309000
plight_al_28;-1191.826629380000;-1193.723643849000;-1193.193324983000;-1193.660789796000;-1193.724241597000;-1193.669781826000;-1193.104635645000;-1193.665314405800;-1193.622434970000;-1193.582780533000
plight_al_29;-383.422188880000;-383.955457367600;-383.771978830700;-383.955001183300;-383.956303831400;-383.939913871800;-383.738782344800;-383.951133235000;-383.938492520000;-383.908433126400
plight_al_30;-1428.712369980000;-1430.872685297000;-1430.131529821000;-1430.790841722000;-1430.870160295000;-1430.765953724000;-1430.021254654000;-1430.752663894300;-1430.789412590000;-1430.636039465000
plight_al_31;-2414.505000880000;-2417.793383969000;-2416.792186761000;-2417.648644601000;-2417.785577104000;-2417.672891351000;-2416.616591206000;-2417.653713744600;-2417.698495630000;-2417.513628447000
plight_al_32;-2414.656097390000;-2417.942540336000;-2416.930614484000;-2417.797684981000;-2417.927725557000;-2417.813766737000;-2416.747521139000;-2417.865780813900;-2417.842448330000;-2417.662294933000
plight_al_33;-2198.746682720000;-2201.692373615000;-2200.750439401000;-2201.554048552000;-2201.672654136000;-2201.569443335000;-2200.603547208000;-2201.645355941800;-2201.609137490000;-2201.430868198000
plight_al_34;-441.383281430000;-441.965819472600;-441.716780153300;-441.929900836300;-441.935987440300;-441.916501948600;-441.701824909500;-441.950440762700;-441.947795090000;-441.882771770600
plight_al_35;-242.874592180000;-243.286801501600;-243.189804851500;-243.283681819000;-243.283557321300;-243.275580144300;-243.165584274600;-243.274752867100;-243.271964930000;-243.264500523000
plight_al_36;-321.454064480000;-321.970067288200;-321.826846856000;-321.966619610400;-321.979332218700;-321.960482561000;-321.790754574800;-321.931329373900;-321.956705070000;-321.934479338600
plight_si_1;-814.297051180000;-815.440915342800;-815.096335131200;-815.410331743400;-815.461665151700;-815.415685214800;-815.005894673500;-815.447048377900;-815.406770010000;-815.349940435200
plight_si_2;-1158.037082790000;-1159.693704578000;-1159.322322335000;-1159.649169941000;-1159.709541735000;-1159.695830224000;-1159.227777195000;-1159.663314283600;-1159.656192740000;-1159.637332145000
plight_si_3;-588.671836810000;-589.341743266600;-589.015450158000;-589.293987727800;-589.314392286900;-589.274820108100;-588.999434817900;-589.311651528100;-589.319426240000;-589.227303533900
plight_si_4;-440.128872490000;-440.721356226300;-440.514470321400;-440.695388058700;-440.724243711900;-440.694983038700;-440.475992102000;-440.698686378700;-440.701445960000;-440.649309303000
plight_si_5;-2272.122267640000;-2275.282517603000;-2274.358858082000;-2275.177593640000;-2275.323371573000;-2275.219233145000;-2274.163088563000;-2275.215183579200;-2275.196769440000;-2275.039164154000
plight_si_6;-2317.397200690000;-2320.712371232000;-2319.976894540000;-2320.636602869000;-2320.711561008000;-2320.707920988000;-2319.766108839000;-2320.645997423000;-2320.645451190000;-2320.597466090000
plight_si_7;-2490.847674510000;-2494.108957945000;-2492.875374431000;-2493.904401705000;-2494.063171244000;-2493.901532995000;-2492.711875762000;-2493.975720657300;-2494.011212250000;-2493.671397828000
plight_si_8;-798.224282480000;-799.130837171200;-798.657956962300;-799.063766627600;-799.108965014100;-799.045093743300;-798.625773853600;-799.080417306000;-799.093296450000;-798.958682191000
plight_si_9;-2146.828097770000;-2149.443184227000;-2148.533538629000;-2149.321685200000;-2149.421526249000;-2149.323994120000;-2148.396874832000;-2149.377151865800;-2149.367919800000;-2149.189125813000
plight_si_10;-854.894186280000;-856.011292123700;-855.604725407500;-855.960940192400;-855.993017143500;-855.958158706900;-855.571027333700;-855.971520508200;-855.981322390000;-855.900201361900
plight_si_11;-2725.210765430000;-2728.667165756000;-2727.543883587000;-2728.498958350000;-2728.641034681000;-2728.528037900000;-2727.347407219000;-2728.569624867400;-2728.575954670000;-2728.350251537000
plight_si_12;-887.289481350000;-888.578481209300;-888.152531747300;-888.526079812500;-888.582173826200;-888.528711035300;-888.082443865200;-888.545174767800;-888.544623570000;-888.465237619800
plight_si_13;-657.753676650000;-658.682115360800;-658.439195377300;-658.672417827800;-658.691752598400;-658.679514440900;-658.383186409300;-658.654069677800;-658.658479110000;-658.637743839000
plight_si_14;-579.221541420000;-580.042648310400;-579.851193792500;-580.032758318300;-580.047875317900;-580.042773938100;-579.810443481200;-580.025558627500;-580.025933590000;-580.015420506600
plight_si_15;-817.362591710000;-818.479339780600;-818.156834267600;-818.478685027500;-818.516996600400;-818.485036781500;-818.052049186200;-818.458922915600;-818.439737980000;-818.411776919400
plight_si_16;-1031.991783090000;-1033.274878816000;-1032.707533559000;-1033.172469061000;-1033.244352283000;-1033.166131193000;-1032.661595981000;-1033.213312926800;-1033.229571930000;-1033.057624197000
plight_si_17;-1666.102591590000;-1668.024516021000;-1667.138932241000;-1667.896056523000;-1667.956107846000;-1667.865880875000;-1667.074308945000;-1667.943176339200;-1667.959046500000;-1667.735642596000
plight_si_18;-675.513602890000;-676.504931356300;-676.117098387400;-676.430846720500;-676.512112644800;-676.431894729400;-676.061160565600;-676.469835856500;-676.476180380000;-676.376939098100
plight_si_19;-290.183685950000;-290.598018115900;-290.496940726400;-290.593603098400;-290.600575505700;-290.588967389300;-290.470027202700;-290.591626755800;-290.588545190000;-290.574059106800
plight_si_20;-329.461982930000;-329.922232256800;-329.800791463900;-329.921050166200;-329.929420296800;-329.921965422200;-329.769941985600;-329.905645728100;-329.909551870000;-329.899662909600
plight_si_21;-346.733024060000;-347.201637838800;-347.069865532700;-347.197591507900;-347.206674052800;-347.195147144000;-347.038212255600;-347.194074005800;-347.186151970000;-347.167367688100
plight_si_22;-733.369134860000;-734.322670366600;-734.023256277100;-734.309491735200;-734.328005797600;-734.304095692400;-733.961821618400;-734.296254507400;-734.292589060000;-734.243614904400
plight_si_23;-656.994708540000;-657.881276029800;-657.633967798900;-657.871529346800;-657.890084391100;-657.872232526600;-657.570183646100;-657.851739486000;-657.856919340000;-657.821184402300
plight_si_24;-582.913344990000;-583.713245039000;-583.538235616200;-583.729188674800;-583.731494168500;-583.731944766000;-583.471184926700;-583.689312257500;-583.692399920000;-583.695669231400
plight_si_25;-367.831991880000;-368.298392568400;-368.157752044600;-368.302629150100;-368.304753401600;-368.297370503800;-368.124943317700;-368.283298749100;-368.281962850000;-368.269178630500
plight_si_26;-2900.436391950000;-2904.553183332000;-2903.648103689000;-2904.503958700000;-2904.572523199000;-2904.574768894000;-2903.364212029000;-2904.458788130200;-2904.461906940000;-2904.428372540000
plight_si_27;-476.995198560000;-477.662992609700;-477.413536370900;-477.621007953500;-477.657815094400;-477.616954609300;-477.385798596700;-477.649987391300;-477.643319410000;-477.575671034700
plight_si_28;-760.141152780000;-761.171531348500;-760.774876929900;-761.145835939200;-761.213062851800;-761.141487933800;-760.668207579200;-761.144180562500;-761.127550690000;-761.061578781000
plight_si_29;-364.247657010000;-364.749717817400;-364.573364973300;-364.720058483000;-364.734169436700;-364.713270585900;-364.561581095200;-364.729572850300;-364.737408720000;-364.691012471000
plight_si_30;-563.952935020000;-564.615673815700;-564.301266315100;-564.566038407200;-564.588053712800;-564.555385589800;-564.289293875100;-564.587126165500;-564.592985700000;-564.507212074300
plight_si_31;-1084.650244290000;-1085.931929880000;-1085.593976403000;-1085.873447877000;-1085.937579485000;-1085.915183404000;-1085.516633583000;-1085.893756252400;-1085.901986630000;-1085.864970727000
plight_si_32;-1882.686835300000;-1884.812361116000;-1884.260241042000;-1884.722563134000;-1884.833587157000;-1884.797936281000;-1884.108387074000;-1884.734047703200;-1884.756964250000;-1884.697461203000
plight_si_33;-744.243482350000;-745.205838630500;-744.739791432700;-745.128664623800;-745.163585318800;-745.104547011400;-744.741187956100;-745.202670027600;-745.175536670000;-745.044362075500
plight_si_34;-1974.972337560000;-1977.503418609000;-1976.796765017000;-1977.463089668000;-1977.563763124000;-1977.499077394000;-1976.579200874000;-1977.447067716200;-1977.423442430000;-1977.357938340000
plight_si_35;-1218.009763330000;-1219.703356840000;-1219.286662014000;-1219.689212251000;-1219.729361006000;-1219.701691029000;-1219.157956938000;-1219.659717394900;-1219.662129140000;-1219.624228660000
plight_si_36;-1668.203660600000;-1669.935312844000;-1669.447036454000;-1669.838766513000;-1669.954495335000;-1669.905231070000;-1669.319320979000;-1669.870991403300;-1669.891265120000;-1669.827654078000
plight_si_37;-633.323340360000;-634.140725095900;-633.956095568200;-634.140337997100;-634.155528820000;-634.154376764100;-633.891520269600;-634.120780022900;-634.119283380000;-634.114371125000
plight_p_1;-2275.317660770000;-2278.098676095000;-2277.326822108000;-2277.986110041000;-2278.114782633000;-2278.045654535000;-2277.160002023000;-2278.021917929000;-2278.030840090000;-2277.906571460000
plight_p_2;-1022.822465920000;-1024.082837336000;-1023.768908134000;-1024.039757676000;-1024.094477848000;-1024.084537544000;-1023.704782243000;-1024.053731101600;-1024.046464200000;-1024.033286074000
plight_p_3;-3099.755968160000;-3102.790538932000;-3101.922607592000;-3102.615086902000;-3102.840450995000;-3102.749442058000;-3101.697288210000;-3102.715425153200;-3102.709282330000;-3102.608791828000
plight_p_4;-776.781990630000;-777.690866886900;-777.433146497500;-777.648417535100;-777.697842944800;-777.677840912700;-777.386816774400;-777.670837839000;-777.666946410000;-777.635992789400
plight_p_5;-397.365993450000;-397.836249438500;-397.696389028900;-397.827933182000;-397.839207517000;-397.838135440300;-397.676258259700;-397.833775580500;-397.823928500000;-397.787440841400
plight_p_6;-700.415633470000;-701.237065136600;-700.849148273400;-701.169983931300;-701.215812208600;-701.165801876500;-700.827182184000;-701.212999562100;-701.207141180000;-701.068814667400
plight_p_7;-511.155664130000;-511.773919301900;-511.538983835300;-511.735483803800;-511.765074799100;-511.737797614700;-511.515561165000;-511.753014670700;-511.753824300000;-511.687971159000
plight_p_8;-1210.757691240000;-1212.130377314000;-1211.497582960000;-1212.006184356000;-1212.081490469000;-1212.013361639000;-1211.459826008000;-1212.077565401300;-1212.078446750000;-1211.841406041000
plight_p_9;-369.302853630000;-369.752677689700;-369.647475781700;-369.763267221700;-369.773939941400;-369.770008421300;-369.604902443100;-369.732532449800;-369.737591440000;-369.736127418100
plight_p_10;-949.140455190000;-950.255830450800;-949.846316241400;-950.193064291800;-950.243399934900;-950.206460398400;-949.790400902600;-950.220971976500;-950.218195560000;-950.104661614000
plight_p_11;-722.039313670000;-722.860977094800;-722.468623737600;-722.799891168700;-722.845922646600;-722.794246532700;-722.437269507000;-722.827750365600;-722.827399360000;-722.690491016100
plight_p_12;-821.445889320000;-822.425684037900;-822.103865598400;-822.384264060700;-822.422259925500;-822.390463522000;-822.054410465200;-822.392561824900;-822.398366030000;-822.333984019400
plight_p_13;-1540.539190390000;-1542.394404630000;-1541.845837465000;-1542.311643613000;-1542.387512704000;-1542.351209006000;-1541.752918114000;-1542.348470066400;-1542.345335970000;-1542.251299446000
plight_p_14;-1437.800189570000;-1439.453184842000;-1438.825479674000;-1439.363561537000;-1439.426559085000;-1439.367682444000;-1438.763866877000;-1439.408331744800;-1439.401599910000;-1439.253721542000
plight_p_15;-3409.402759820000;-3413.636081578000;-3412.596051143000;-3413.483968453000;-3413.652330443000;-3413.620560732000;-3412.371939222000;-3413.534405678200;-3413.535605470000;-3413.452611677000
plight_p_16;-684.249595350000;-685.083060719200;-684.883513232100;-685.067184685700;-685.094715749300;-685.088202129800;-684.824384513400;-685.054389132900;-685.061191990000;-685.046751414600
plight_p_17;-761.560553590000;-762.502677923400;-762.246536862600;-762.478166228100;-762.518205217800;-762.498228840900;-762.183294581400;-762.480685553900;-762.475567060000;-762.448433356300
plight_p_18;-2761.052402640000;-2764.235522482000;-2763.084646584000;-2764.003567104000;-2764.158575372000;-2764.075351258000;-2762.960605126000;-2764.139008003100;-2764.142802590000;-2763.790939313000
plight_p_19;-3413.028013120000;-3417.249672981000;-3416.233091363000;-3417.114800378000;-3417.268787069000;-3417.239374756000;-3415.975611817000;-3417.138220693300;-3417.150449140000;-3417.058684634000
plight_p_20;-3750.533240850000;-3754.817499332000;-3753.711175969000;-3754.626488277000;-3754.840082583000;-3754.776832087000;-3753.453148187000;-3754.714747927200;-3754.714370020000;-3754.584165271000
plight_p_21;-688.155143750000;-688.988811282900;-688.644784019800;-688.947212417800;-688.987420673500;-688.951173207600;-688.598627692200;-688.949206184100;-688.956776310000;-688.876513419900
plight_p_22;-640.406924970000;-641.089290682100;-640.757949932100;-641.034144193800;-641.058131836700;-641.025227651500;-640.741905682200;-641.063166173300;-641.065109910000;-640.961826237200
plight_p_23;-573.426687820000;-574.185627187800;-573.910016249600;-574.148685234300;-574.192849311700;-574.150202389400;-573.860939430800;-574.160907639400;-574.161905670000;-574.105494944300
plight_p_24;-491.898530360000;-492.471369780200;-492.241878927700;-492.433090505300;-492.451405379800;-492.438651000700;-492.231495248000;-492.449182031400;-492.453295650000;-492.383009837800
plight_p_25;-508.675298110000;-509.283501711900;-509.054843149000;-509.249813656700;-509.281755758100;-509.253208386300;-509.022240736900;-509.262724963000;-509.259508570000;-509.190665170700
plight_p_26;-883.858276980000;-884.860657222500;-884.519133909900;-884.826073423000;-884.852652203300;-884.834585768800;-884.470540650400;-884.831478966500;-884.828899400000;-884.762385216900
plight_p_27;-1688.604212830000;-1690.496603071000;-1689.938700851000;-1690.398741648000;-1690.507103689000;-1690.461547860000;-1689.817326043000;-1690.447785451900;-1690.442894430000;-1690.349946017000
plight_p_28;-534.170307420000;-534.876437389000;-534.624920193600;-534.840420298800;-534.880890667600;-534.844079686900;-534.584839458200;-534.855765383300;-534.855626560000;-534.804346376900
plight_p_29;-1593.719680790000;-1595.598024844000;-1594.842459370000;-1595.469520305000;-1595.559270435000;-1595.489871790000;-1594.758376445000;-1595.533271877400;-1595.533261590000;-1595.281021051000
plight_p_30;-649.781183950000;-650.601455284100;-650.267094161700;-650.561421603700;-650.603139430400;-650.555754796400;-650.220393604300;-650.589265484200;-650.571812990000;-650.485297050400
plight_p_31;-379.783371800000;-380.267391689100;-380.121854498200;-380.247578788100;-380.266209527600;-380.248213582600;-380.096117128700;-380.259023140700;-380.276833170000;-380.224912680500
plight_p_32;-917.769717580000;-918.926837832400;-918.573744175800;-918.885255682800;-918.946516529800;-918.908373044600;-918.476130038500;-918.887226557100;-918.888843040000;-918.829421647100
plight_p_33;-1798.166779330000;-1800.168956319000;-1799.497976163000;-1800.066147269000;-1800.157468124000;-1800.102882670000;-1799.390589668000;-1800.094118997100;-1800.107408910000;-1799.971576338000
plight_p_34;-1364.045839650000;-1365.743491396000;-1365.324561942000;-1365.670806332000;-1365.759862462000;-1365.732081007000;-1365.229281041000;-1365.689879523000;-1365.706281720000;-1365.656958593000
plight_p_35;-500.160942090000;-500.772223177500;-500.585657700600;-500.771312394600;-500.796576101000;-500.782197710100;-500.521593586300;-500.734100862300;-500.746832390000;-500.724997800200
plight_p_36;-782.495956080000;-783.551136252400;-783.117707315000;-783.489728112700;-783.552454038500;-783.483677016800;-783.061908985200;-783.508569050200;-783.515129570000;-783.414026007400
plight_p_37;-633.323340360000;-634.140725095900;-633.956095568200;-634.140337997100;-634.155528820000;-634.154376764100;-633.891520269600;-634.120780022900;-634.119283380000;-634.114371125000
plight_s_1;-423.819329430000;-424.290563545800;-424.154819182100;-424.276430084700;-424.303802791700;-424.286127827800;-424.117738349500;-424.278485752700;-424.278699270000;-424.260138715400
plight_s_2;-437.639004230000;-438.110923252600;-437.971830158600;-438.094753394300;-438.123730573900;-438.106454960500;-437.935033828100;-438.103079244500;-438.099402160000;-438.074614494500
plight_s_3;-699.131246780000;-699.861378227400;-699.509963893600;-699.790081294600;-699.827756786600;-699.800867864000;-699.506535748700;-699.854011111300;-699.835300260000;-699.683204616900
plight_s_4;-796.178404110000;-797.031476134700;-796.800107233600;-796.992599017700;-797.043793294500;-797.022162211000;-796.741413351500;-797.003647722100;-797.011479020000;-796.976925091700
plight_s_5;-1307.088374150000;-1308.506272699000;-1308.070021974000;-1308.432474411000;-1308.507552153000;-1308.479828213000;-1308.007720331000;-1308.477712671100;-1308.469427220000;-1308.390847466000
plight_s_6;-704.310137800000;-705.158513007800;-704.810950041100;-705.096165074600;-705.158595701000;-705.103799463100;-704.772149173200;-705.133366663900;-705.132501990000;-705.050027782000
plight_s_7;-1219.989865300000;-1221.322438837000;-1220.960380001000;-1221.264222635000;-1221.342560243000;-1221.311957414000;-1220.861754365000;-1221.273319670300;-1221.286376410000;-1221.242898925000
plight_s_8;-4773.294885130000;-4778.466552690000;-4777.087225919000;-4778.220014575000;-4778.510014190000;-4778.415731576000;-4776.775775346000;-4778.318803280700;-4778.334981150000;-4778.165270070000
plight_s_9;-510.997600490000;-511.568713119700;-511.356187723200;-511.527736889500;-511.560404067000;-511.539599927400;-511.339082611400;-511.558994410300;-511.553208890000;-511.506669525100
plight_s_10;-929.342700570000;-930.372947687000;-930.050092618100;-930.322422039100;-930.385547205600;-930.352468799300;-929.985529925400;-930.352257885400;-930.341200670000;-930.288541948500
plight_s_11;-552.613328710000;-553.212450265900;-552.997300691300;-553.189503251400;-553.218840526100;-553.201581082400;-552.962814806400;-553.202865363800;-553.190155170000;-553.138065124400
plight_s_12;-872.774057910000;-873.744204962800;-873.449588172000;-873.695487409000;-873.753132081200;-873.720343908900;-873.393343701300;-873.720946498000;-873.717895080000;-873.671813636400
plight_s_13;-2393.812749260000;-2396.338387373000;-2395.681315522000;-2396.266983931000;-2396.390622031000;-2396.349096157000;-2395.485806056000;-2396.214468949600;-2396.264185510000;-2396.203625890000
plight_s_14;-474.103717220000;-474.604205617400;-474.432751636000;-474.578417570500;-474.604040426300;-474.586097416700;-474.407132294000;-474.585819846900;-474.587772850000;-474.549109393000
plight_s_15;-1096.304211060000;-1097.431708730000;-1096.816279797000;-1097.330413998000;-1097.383945483000;-1097.326643727000;-1096.797590991000;-1097.390728302100;-1097.382785060000;-1097.169354507000
plight_s_16;-3037.128679650000;-3040.433572053000;-3038.900460624000;-3040.153778489000;-3040.339978593000;-3040.200040081000;-3038.809386800000;-3040.317967703400;-3040.303900620000;-3039.737124858000
plight_s_17;-1592.248835420000;-1593.955348656000;-1593.509129537000;-1593.891905349000;-1593.979741260000;-1593.960200925000;-1593.407275094000;-1593.899441359400;-1593.909501070000;-1593.872852721000
plight_s_18;-1469.389438060000;-1470.893772537000;-1470.390227847000;-1470.816199006000;-1470.896915303000;-1470.861586327000;-1470.323926187000;-1470.865835336800;-1470.849317550000;-1470.769806089000
plight_s_19;-552.188095380000;-552.770934280600;-552.530581069200;-552.728149670700;-552.751436751400;-552.736147647700;-552.524923884300;-552.747344079300;-552.752830740000;-552.685472552600
plight_s_20;-5341.697537180000;-5347.691235681000;-5346.140575781000;-5347.422748938000;-5347.724473968000;-5347.658432482000;-5345.772159751000;-5347.523234021000;-5347.541812790000;-5347.369504751000
plight_s_21;-1688.604212830000;-1690.496603070000;-1689.938700850000;-1690.398741648000;-1690.507103688000;-1690.461547859000;-1689.817326043000;-1690.447785452100;-1690.442894440000;-1690.349946017000
plight_s_22;-2611.983230120000;-2614.798615978000;-2613.932684234000;-2614.649007998000;-2614.787666864000;-2614.751285390000;-2613.826497062000;-2614.739013598900;-2614.721646440000;-2614.557897403000
plight_s_23;-1026.191163010000;-1027.390571440000;-1026.983417889000;-1027.324425962000;-1027.398745219000;-1027.348758872000;-1026.920157440000;-1027.352103793900;-1027.356887700000;-1027.288355289000
plight_s_24;-872.009549740000;-872.857816758200;-872.398354127500;-872.773324875000;-872.803504670700;-872.780851634900;-872.400250607400;-872.813681585800;-872.823814410000;-872.652604530800
plight_s_25;-1084.650244290000;-1085.931929880000;-1085.593976403000;-1085.873447877000;-1085.937579485000;-1085.915183404000;-1085.516633583000;-1085.893756252400;-1085.901986630000;-1085.864970727000
plight_s_26;-623.227899800000;-623.887348247000;-623.593110121300;-623.828047445300;-623.854481248200;-623.845226794600;-623.595757735000;-623.865154435100;-623.864269180000;-623.749073274500
plight_s_27;-1392.455246700000;-1393.834157486000;-1393.408382260000;-1393.757029470000;-1393.841104724000;-1393.812298269000;-1393.334599700000;-1393.794671979600;-1393.794085520000;-1393.727308072000
plight_s_28;-835.298254510000;-836.283998269600;-835.838254762700;-836.202224678400;-836.263328474400;-836.211331951000;-835.804644204200;-836.250223785900;-836.247226310000;-836.090895726900
plight_s_29;-1654.703618690000;-1656.685782748000;-1655.989647715000;-1656.551029495000;-1656.695429345000;-1656.599453406000;-1655.878784342000;-1656.645025178300;-1656.628706410000;-1656.482434986000
plight_s_30;-476.244765140000;-476.777925723900;-476.612522272200;-476.753226345600;-476.792774566800;-476.768632633200;-476.572292030900;-476.766477657000;-476.760735350000;-476.735015784800
plight_s_31;-584.417264100000;-585.099228533100;-584.832803751900;-585.042494859900;-585.090913923100;-585.057233049300;-584.812039375700;-585.079686583100;-585.078986060000;-585.009370828500
plight_s_32;-590.740863230000;-591.455352655400;-591.196208799000;-591.415578182600;-591.459335158800;-591.425518670800;-591.154677802100;-591.435949763700;-591.433582010000;-591.379670533600
plight_s_33;-914.837644170000;-915.840608493400;-915.549041748400;-915.811550828400;-915.867293289600;-915.841291251400;-915.469522038200;-915.816705112800;-915.806541420000;-915.770021387900
plight_s_34;-883.432926550000;-884.375668584100;-883.870914220900;-884.282582462000;-884.327593116400;-884.267698941000;-883.871407204200;-884.317726497700;-884.341607600000;-884.165775179400
plight_s_35;-492.642001820000;-493.189260277600;-493.008860997000;-493.164843930200;-493.192866317200;-493.176532465300;-492.975975200900;-493.170513191700;-493.170422720000;-493.137087796000
plight_cl_1;-566.171985120000;-566.761470449600;-566.580210202100;-566.786824646700;-566.822164599700;-566.779124312100;-566.503514822300;-566.747042021500;-566.737435570000;-566.724383778300
plight_cl_2;-537.022884140000;-537.568080304400;-537.376782389700;-537.536236414800;-537.578650741200;-537.547522819400;-537.341430856000;-537.558333727400;-537.550332330000;-537.518054561400
plight_cl_3;-1050.101144750000;-1051.158527528000;-1050.788613512000;-1051.085851266000;-1051.166734392000;-1051.118280420000;-1050.745036851000;-1051.130074795000;-1051.128047650000;-1051.050229695000
plight_cl_4;-15438.359969470001;-15455.892359410000;-15451.303158729999;-15455.070876170001;-15455.992829370000;-15455.633736880000;-15450.059208950001;-15455.389830613600;-15455.460582780001;-15454.981150780000
plight_cl_5;-4743.705816990000;-4750.379654720000;-4748.813178775000;-4750.132707196000;-4750.426320838000;-4750.312782468000;-4748.444752249000;-4750.238709766100;-4749.609077020000;-4750.120353362000
plight_cl_6;-2808.432576470000;-2811.154751583000;-2810.342091993000;-2810.980717636000;-2811.207838401000;-2811.098357455000;-2810.124037686000;-2811.081085702600;-2811.080490860000;-2810.975488966000
plight_cl_7;-2378.998370500000;-2381.293547763000;-2380.588326316000;-2381.148130974000;-2381.336044706000;-2381.239757924000;-2380.417618800000;-2381.226724886300;-2381.228189700000;-2381.124774813000
plight_cl_8;-996.812505650000;-997.795045446700;-997.482388913800;-997.735285417400;-997.814933803500;-997.768925491200;-997.409408390200;-997.771939338200;-997.765848680000;-997.718697578500
plight_cl_9;-3830.308143120000;-3834.035665116000;-3832.886453215000;-3833.773185629000;-3834.088455458000;-3833.929587776000;-3832.610758795000;-3833.933444622700;-3833.931892270000;-3833.759179471000
plight_cl_10;-1906.928479980000;-1908.863898132000;-1908.078269603000;-1908.697248279000;-1908.847588809000;-1908.736647786000;-1907.981125870000;-1908.803675282200;-1908.806335470000;-1908.631727476000
plight_cl_11;-2910.764640570000;-2913.621168793000;-2912.730599450000;-2913.428947560000;-2913.663714540000;-2913.540723651000;-2912.528584980000;-2913.549268591700;-2913.541897090000;-2913.404641750000
plight_cl_12;-1015.295359840000;-1016.270373977000;-1015.956257649000;-1016.220843113000;-1016.294210091000;-1016.251259976000;-1015.878622826000;-1016.243009910600;-1016.237032720000;-1016.192217594000
plight_cl_13;-1917.578018210000;-1919.420716834000;-1918.862661232000;-1919.317737401000;-1919.463705790000;-1919.387601093000;-1918.715222716000;-1919.377054201400;-1919.365445440000;-1919.292380150000
plight_cl_14;-499.621155330000;-500.101642125500;-499.953527638100;-500.081767519300;-500.118058123800;-500.096875579100;-499.910697301200;-500.091695946300;-500.085450120000;-500.068224098800
plight_cl_15;-1032.749760950000;-1033.761461369000;-1033.414313859000;-1033.689522413000;-1033.765795294000;-1033.723986035000;-1033.357228982000;-1033.740209641000;-1033.732051870000;-1033.671364868000
plight_cl_16;-994.570117940000;-995.519801388400;-995.204035975900;-995.460578870200;-995.526509111700;-995.489100296000;-995.153743485000;-995.498637276400;-995.491560690000;-995.434579763900
plight_cl_17;-552.473238150000;-553.037559619300;-552.824264255300;-552.990325603300;-553.038786464500;-553.002248614500;-552.797258015500;-553.029975004400;-553.021498430000;-552.970913371900
plight_cl_18;-559.468337320000;-559.989659377500;-559.789511718800;-559.955389434500;-559.987074559700;-559.962601848200;-559.764141364300;-559.976337842400;-559.972909770000;-559.931015113800
plight_cl_19;-653.278781240000;-653.939494935000;-653.680156995100;-653.909058607100;-653.953299441300;-653.913430430200;-653.632982652500;-653.922361256400;-653.914007520000;-653.865698392800
plight_cl_20;-995.878312160000;-996.815891392900;-996.509071030700;-996.764734627500;-996.830787873300;-996.792362813500;-996.447095451500;-996.791200673100;-996.785352860000;-996.742287171800
plight_cl_21;-652.789656280000;-653.434386407100;-653.149373383400;-653.383974921300;-653.425934895800;-653.381893154400;-653.129235970700;-653.417433691800;-653.412603600000;-653.339306726200
plight_cl_22;-975.914850340000;-976.833827813200;-976.556752838800;-976.800819828200;-976.853382094600;-976.839156471800;-976.503237605100;-976.799728343000;-976.804104420000;-976.781276371000
plight_cl_23;-1948.270424370000;-1950.150473168000;-1949.554125763000;-1950.033963350000;-1950.171954070000;-1950.107541709000;-1949.449877059000;-1950.085629039600;-1950.095961810000;-1950.002882368000
plight_cl_24;-1433.875621600000;-1435.249546401000;-1434.822066985000;-1435.165822694000;-1435.268000104000;-1435.219447136000;-1434.739394988000;-1435.205772365700;-1435.209904790000;-1435.146686827000
plight_cl_25;-516.889874730000;-517.373127108500;-517.217241573400;-517.356366251500;-517.386735524900;-517.370396756200;-517.177965654600;-517.357149005900;-517.354517930000;-517.335548640200
plight_cl_26;-2639.852049610000;-2642.454861791000;-2641.714349780000;-2642.304195129000;-2642.493559909000;-2642.419079097000;-2641.522076027000;-2642.376260899100;-2642.382868150000;-2642.292832798000
plight_cl_27;-4058.622537930000;-4062.714450698000;-4061.386107864000;-4062.416009168000;-4062.760314176000;-4062.569328162000;-4061.109765691000;-4062.603473669600;-4062.602075590000;-4062.372040421000
