System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
s_li_36;-120.401929390000;-120.506437052200;-120.424461789700;-120.515121408900;-120.518872897700;-120.502875572600;-120.409395994200;-120.497637386600;-120.494352920000;-120.481143300300
s_be_1;-16.534445190000;-16.509385752700;-16.500993055500;-16.533420229200;-16.520964263100;-16.517903014200;-16.491285004700;-16.509390581000;-16.498359020000;-16.500229568200
s_be_2;-73.041888680000;-73.071342175300;-73.028157523800;-73.093796003500;-73.085661390000;-73.077559573400;-73.014951677000;-73.075848428900;-73.061446420000;-73.044672423500
s_be_3;-205.890881650000;-206.016898143500;-205.846724840500;-206.014614263600;-206.021755543300;-205.980833297100;-205.840369939200;-205.993924247500;-205.981669280000;-205.943120477000
s_be_4;-256.044469400000;-256.388014953700;-256.165293393700;-256.362167385400;-256.399167330500;-256.335969271600;-256.147992989900;-256.371700321600;-256.371018500000;-256.299216603800
s_be_5;-944.573126750000;-945.464929299100;-944.781051935100;-945.370851374300;-945.411091716300;-945.325494265900;-944.794411595300;-945.438366049700;-945.466258050000;-945.239936320100
s_be_6;-1868.924329070000;-1870.641205863000;-1870.089096839000;-1870.535841817000;-1870.693424896000;-1870.606134148000;-1869.931238827000;-1870.579476415700;-1870.578278060000;-1870.512433252000
s_be_7;-429.055676080000;-429.360078837600;-429.027859034000;-429.323704270800;-429.347645072200;-429.283340515300;-429.022043683900;-429.333326283900;-429.309237440000;-429.230686261800
s_be_8;-63.800187240000;-63.720950922300;-63.679748765600;-63.771489281200;-63.772945158100;-63.744400795700;-63.641960411700;-63.683566364800;-63.688560100000;-63.696193405300
s_be_9;-569.197618380000;-569.708065786000;-569.224898011300;-569.635604154900;-569.718904680800;-569.592974088700;-569.209184805700;-569.668299903400;-569.593121660000;-569.490129362300
s_be_10;-1650.488788570000;-1652.171352288000;-1651.633114354000;-1652.065440279000;-1652.219755209000;-1652.134876944000;-1651.485461937000;-1652.076739712600;-1652.031822400000;-1652.029966330000
s_be_11;-246.582832480000;-246.906692222300;-246.710946692600;-246.882204948000;-246.917050500300;-246.860311995600;-246.683091002300;-246.887155076400;-246.890836750000;-246.835096843600
s_be_12;-934.442028250000;-935.300554466200;-935.023026203900;-935.249936155400;-935.326290274100;-935.282088463400;-934.944708599400;-935.262622315900;-935.270123390000;-935.237014288700
s_be_13;-401.270602150000;-401.830964981800;-401.524486003700;-401.762283509400;-401.850989893300;-401.765720841400;-401.477627351900;-401.805212213900;-401.804762080000;-401.713984042100
s_be_14;-92.315863630000;-92.363268045400;-92.296375145400;-92.373134565200;-92.372150361500;-92.356171090300;-92.286203675600;-92.353385019000;-92.352208260000;-92.335689300400
s_be_15;-358.640049280000;-359.031195781400;-358.923508473000;-359.044078210000;-359.051031210100;-359.043006127500;-358.881927117300;-359.010237042400;-359.016770640000;-359.011468062100
s_be_16;-115.210661650000;-115.277993927500;-115.186337284400;-115.276232965000;-115.277959459500;-115.257991584600;-115.181452790900;-115.258548636000;-115.264959960000;-115.239664909200
s_be_17;-94.465989420000;-94.549000668700;-94.485974391600;-94.561401284300;-94.571350607700;-94.550134569600;-94.463333027000;-94.538868908200;-94.537370770000;-94.529572136400
s_be_18;-126.630549680000;-126.740112373800;-126.638500254000;-126.736113736200;-126.749507828700;-126.720377537100;-126.627534493200;-126.720424183700;-126.725929970000;-126.692558674600
s_be_19;-89.850673340000;-89.913156800300;-89.827151039200;-89.905252654400;-89.908435049200;-89.891370485800;-89.837027080400;-89.917150987200;-89.893884190000;-89.874743106900
s_be_20;-931.824834970000;-932.541288700400;-931.744951931700;-932.475810616100;-932.606905381600;-932.363786086800;-931.676205789200;-932.462800371000;-932.260539650000;-932.200727381300
s_be_21;-1001.856701970000;-1003.277840348000;-1002.504481516000;-1003.129185981000;-1003.263318222000;-1003.114245139000;-1002.467408848000;-1003.236451869900;-1003.226683110000;-1003.010685711000
s_be_22;-3834.885527240000;-3838.786572249000;-3837.527058577000;-3838.617971435000;-3838.915737173000;-3838.729105322000;-3837.160626582000;-3838.643004172200;-3838.537563430000;-3838.472830610000
s_be_23;-56.369011680000;-56.389476474100;-56.356886875000;-56.414681748400;-56.410811868600;-56.398613193000;-56.336548253300;-56.379604945000;-56.383521690000;-56.382603327600
s_be_24;-802.276871110000;-803.017162224200;-802.555918909800;-802.970822462700;-803.029584987200;-802.938015475500;-802.518023960900;-802.933797282300;-802.923666180000;-802.845460602100
s_be_25;-1946.255193050000;-1948.273964574000;-1947.503767761000;-1948.149645028000;-1948.305189478000;-1948.180109538000;-1947.372938855000;-1948.212810343900;-1948.186737910000;-1948.036612095000
s_be_26;-231.237796730000;-231.371947822200;-231.168017261200;-231.380078367100;-231.406215041000;-231.337466711500;-231.136955208800;-231.336909165600;-231.326084220000;-231.277709997800
s_be_27;-314.794223530000;-315.178669124300;-314.913267246000;-315.114851350200;-315.162299497900;-315.105373254900;-314.915815412400;-315.154591261300;-315.160739630000;-315.061775103400
s_be_28;-39.038072840000;-39.076656079300;-39.019188037900;-39.069709877300;-39.083150527600;-39.049986602100;-39.012305993300;-39.029762627400;-39.036714160000;-39.047049602200
s_be_29;-114.228498000000;-114.303282549400;-114.206048986100;-114.290985475200;-114.297498515600;-114.279956607300;-114.203925119300;-114.298808104200;-114.309561790000;-114.256054673000
s_be_30;-1263.142100910000;-1264.310174859000;-1263.734252209000;-1264.239727975000;-1264.339670737000;-1264.235448887000;-1263.649968980000;-1264.250709689000;-1264.229097070000;-1264.115759488000
s_na_1;-1070.862557900000;-1072.034504175000;-1071.558654825000;-1071.978378189000;-1072.021264831000;-1071.977516909000;-1071.484835647000;-1071.991828204700;-1071.994804570000;-1071.913328977000
s_na_2;-268.463152970000;-268.696811911700;-268.573489049500;-268.767950673800;-268.747966141400;-268.729961721200;-268.536092600600;-268.647157527800;-268.676170660000;-268.694009995000
s_na_3;-163.353213080000;-163.430813651000;-163.350468884000;-163.436893183300;-163.420087102700;-163.422450609000;-163.337297047100;-163.412739972200;-163.418482400000;-163.403146222000
s_na_4;-2177.329571160000;-2179.718737939000;-2178.485624205000;-2179.471472346000;-2179.638036404000;-2179.473193790000;-2178.411169981000;-2179.644193898900;-2179.634618810000;-2179.299520857000
s_na_5;-319.775636000000;-320.057216953900;-319.878741842300;-320.053869575200;-320.068340694000;-320.040568843100;-319.840869560600;-320.049244228600;-320.037913830000;-320.008134388100
