Element  (for transition metal atoms, we additionally report „state-controlled“ energies, see main paper Sec. 3.2);wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
Ca_cation;-677.315730825400;-677.169008013100;-677.290743910500;-677.343430231800;-677.305993086600;-677.120136096500;-677.311436655506;-677.303221630350;-677.292079405700
Sc;-760.585350202300;-760.434151819400;-760.566103395800;-760.619037594100;-760.581866740100;-760.395672015100;-760.575781099667;-760.570749510000;-760.562778071200
Sc (state-controlled);-760.585312400000;-760.434118000000;-760.566075100000;-760.619003100000;-760.581876600000;-760.395616300000;;;
Ti;-849.313166190600;-849.161023137000;-849.301010486600;-849.344862999400;-849.321676655500;-849.125868197300;-849.298770426716;-849.296710600000;-849.298586025200
Ti (state-controlled);-849.313114400000;-849.160980900000;-849.300968100000;-849.344850800000;-849.316624300000;-849.122411900000;;;
V;-943.851254836900;-943.699518889500;-943.844879338000;-943.881963350700;-943.874859791300;-943.670227084400;-943.817824234079;-943.832722600000;-943.848374487400
V (state-controlled);-943.851146900000;-943.698436500000;-943.843935400000;-943.880897200000;-943.869268900000;-943.662064300000;;;
Cr;-1044.379620050000;-1044.249423697000;-1044.382037543000;-1044.389937737000;-1044.437274604000;-1044.224062340000;-1044.349586525942;-1044.356230900000;-1044.409705298000
Cr (state-controlled);-1044.379579000000;-1044.249393000000;-1044.382012000000;-1044.389910000000;-1044.437211000000;-1044.224042000000;;;
Mn;-1150.935608606000;-1150.785455575000;-1150.935057775000;-1150.983911110000;-1150.971333479000;-1150.748416420000;-1150.928373661790;-1150.912559420000;-1150.943872401000
Mn (state-controlled);-1150.935595000000;-1150.785446000000;-1150.935056000000;-1150.983912000000;-1150.971109000000;-1150.748384000000;;;
Fe;-1263.615755737000;-1263.463227726000;-1263.625086606000;-1263.663164190000;-1263.663709939000;-1263.448200346000;-1263.595817155402;-1263.567691520000;-1263.624160138000
Fe (state-controlled);-1263.615712000000;-1263.463193000000;-1263.625046000000;-1263.663106000000;-1263.663799000000;-1263.448119000000;;;
Co;-1382.666721632000;-1382.522059105000;-1382.692555335000;-1382.706605080000;-1382.735691378000;-1382.516282414000;-1382.633814466725;-1382.637093220000;-1382.685698805000
Co (state-controlled);-1382.674384000000;-1382.517870000000;-1382.688964000000;-1382.715663000000;-1382.722293000000;-1382.494467000000;;;
Ni;-1508.222695190000;-1508.073891266000;-1508.252570688000;-1508.267020410000;-1508.289822331000;-1508.074243342000;-1508.170160502328;-1508.189539310000;-1508.237396466000
Ni (state-controlled);-1508.215283000000;-1508.058773000000;-1508.238047000000;-1508.259718000000;-1508.278636000000;-1508.040893000000;;;
Cu;-1640.434284214000;-1640.285961563000;-1640.469902339000;-1640.489249377000;-1640.509096110000;-1640.287836407000;-1640.401400873825;-1640.393849880000;-1640.455521008000
Cu (state-controlled);-1640.434267000000;-1640.285944000000;-1640.469898000000;-1640.489218000000;-1640.509280000000;-1640.287842000000;;;
